"","samp_ev","exp","rep","grp_sz","counts"
"335","YBP1","FC","3","chlorophyte pediastrum 40 40",0
"336","YBP1","T24","3","chlorophyte pediastrum 40 40",0
"337","LSZ2","FC","1","chlorophyte pediastrum 40 40",0
"338","LSZ2","T24","1","chlorophyte pediastrum 40 40",0
"339","LSZ2","FC","2","chlorophyte pediastrum 40 40",0
"340","LSZ2","T24","2","chlorophyte pediastrum 40 40",0
"341","LSZ2","FC","3","chlorophyte pediastrum 40 40",0
"342","LSZ2","T24","3","chlorophyte pediastrum 40 40",0
"343","WLD2","FC","1","chlorophyte pediastrum 40 40",0
"344","WLD2","T24","1","chlorophyte pediastrum 40 40",0
"345","WLD2","FC","2","chlorophyte pediastrum 40 40",0
"346","WLD2","T24","2","chlorophyte pediastrum 40 40",0
"347","WLD2","FC","3","chlorophyte pediastrum 40 40",0
"348","WLD2","T24","3","chlorophyte pediastrum 40 40",0
"349","SJR1","FC","1","chlorophyte pediastrum 40 40",0
"350","SJR1","T24","1","chlorophyte pediastrum 40 40",0
"351","SJR1","FC","2","chlorophyte pediastrum 40 40",0
"352","SJR1","T24","2","chlorophyte pediastrum 40 40",0
"353","SJR1","FC","3","chlorophyte pediastrum 40 40",0
"354","SJR1","T24","3","chlorophyte pediastrum 40 40",0
"355","YBP2","FC","1","chlorophyte pediastrum 40 40",0
"356","YBP2","T24","1","chlorophyte pediastrum 40 40",0
"357","YBP2","FC","2","chlorophyte pediastrum 40 40",0
"358","YBP2","T24","2","chlorophyte pediastrum 40 40",0
"359","YBP2","FC","3","chlorophyte pediastrum 40 40",0
"360","YBP2","T24","3","chlorophyte pediastrum 40 40",0
"361","SJR2","FC","1","chlorophyte scenedesmus 12 16",0
"362","SJR2","T24","1","chlorophyte scenedesmus 12 16",0
"363","SJR2","FC","2","chlorophyte scenedesmus 12 16",0
"364","SJR2","T24","2","chlorophyte scenedesmus 12 16",0
"365","SJR2","FC","3","chlorophyte scenedesmus 12 16",1
"366","SJR2","T24","3","chlorophyte scenedesmus 12 16",0
"367","YBP1","FC","1","chlorophyte scenedesmus 12 16",0
"368","YBP1","T24","1","chlorophyte scenedesmus 12 16",0
"369","YBP1","FC","2","chlorophyte scenedesmus 12 16",0
"370","YBP1","T24","2","chlorophyte scenedesmus 12 16",0
"371","YBP1","FC","3","chlorophyte scenedesmus 12 16",0
"372","YBP1","T24","3","chlorophyte scenedesmus 12 16",0
"373","LSZ2","FC","1","chlorophyte scenedesmus 12 16",0
"374","LSZ2","T24","1","chlorophyte scenedesmus 12 16",0
"375","LSZ2","FC","2","chlorophyte scenedesmus 12 16",0
"376","LSZ2","T24","2","chlorophyte scenedesmus 12 16",0
"377","LSZ2","FC","3","chlorophyte scenedesmus 12 16",0
"378","LSZ2","T24","3","chlorophyte scenedesmus 12 16",0
"379","WLD2","FC","1","chlorophyte scenedesmus 12 16",0
"380","WLD2","T24","1","chlorophyte scenedesmus 12 16",0
"381","WLD2","FC","2","chlorophyte scenedesmus 12 16",0
"382","WLD2","T24","2","chlorophyte scenedesmus 12 16",0
"383","WLD2","FC","3","chlorophyte scenedesmus 12 16",0
"384","WLD2","T24","3","chlorophyte scenedesmus 12 16",0
"385","SJR1","FC","1","chlorophyte scenedesmus 12 16",0
"386","SJR1","T24","1","chlorophyte scenedesmus 12 16",0
"387","SJR1","FC","2","chlorophyte scenedesmus 12 16",0
"388","SJR1","T24","2","chlorophyte scenedesmus 12 16",0
"389","SJR1","FC","3","chlorophyte scenedesmus 12 16",0
"390","SJR1","T24","3","chlorophyte scenedesmus 12 16",0
"391","YBP2","FC","1","chlorophyte scenedesmus 12 16",0
"392","YBP2","T24","1","chlorophyte scenedesmus 12 16",0
"393","YBP2","FC","2","chlorophyte scenedesmus 12 16",0
"394","YBP2","T24","2","chlorophyte scenedesmus 12 16",0
"395","YBP2","FC","3","chlorophyte scenedesmus 12 16",3
"396","YBP2","T24","3","chlorophyte scenedesmus 12 16",0
"397","SJR2","FC","1","chlorophyte scenedesmus 16 24",0
"398","SJR2","T24","1","chlorophyte scenedesmus 16 24",0
"399","SJR2","FC","2","chlorophyte scenedesmus 16 24",0
"400","SJR2","T24","2","chlorophyte scenedesmus 16 24",0
"401","SJR2","FC","3","chlorophyte scenedesmus 16 24",0
"402","SJR2","T24","3","chlorophyte scenedesmus 16 24",0
"403","YBP1","FC","1","chlorophyte scenedesmus 16 24",0
"404","YBP1","T24","1","chlorophyte scenedesmus 16 24",0
"405","YBP1","FC","2","chlorophyte scenedesmus 16 24",0
"406","YBP1","T24","2","chlorophyte scenedesmus 16 24",0
"407","YBP1","FC","3","chlorophyte scenedesmus 16 24",0
"408","YBP1","T24","3","chlorophyte scenedesmus 16 24",0
"409","LSZ2","FC","1","chlorophyte scenedesmus 16 24",0
"410","LSZ2","T24","1","chlorophyte scenedesmus 16 24",0
"411","LSZ2","FC","2","chlorophyte scenedesmus 16 24",0
"412","LSZ2","T24","2","chlorophyte scenedesmus 16 24",0
"413","LSZ2","FC","3","chlorophyte scenedesmus 16 24",0
"414","LSZ2","T24","3","chlorophyte scenedesmus 16 24",1
"415","WLD2","FC","1","chlorophyte scenedesmus 16 24",0
"416","WLD2","T24","1","chlorophyte scenedesmus 16 24",0
"417","WLD2","FC","2","chlorophyte scenedesmus 16 24",0
"418","WLD2","T24","2","chlorophyte scenedesmus 16 24",0
"419","WLD2","FC","3","chlorophyte scenedesmus 16 24",0
"420","WLD2","T24","3","chlorophyte scenedesmus 16 24",0
"421","SJR1","FC","1","chlorophyte scenedesmus 16 24",0
"422","SJR1","T24","1","chlorophyte scenedesmus 16 24",0
"423","SJR1","FC","2","chlorophyte scenedesmus 16 24",0
"424","SJR1","T24","2","chlorophyte scenedesmus 16 24",0
"425","SJR1","FC","3","chlorophyte scenedesmus 16 24",0
"426","SJR1","T24","3","chlorophyte scenedesmus 16 24",0
"427","YBP2","FC","1","chlorophyte scenedesmus 16 24",0
"428","YBP2","T24","1","chlorophyte scenedesmus 16 24",0
"429","YBP2","FC","2","chlorophyte scenedesmus 16 24",2
"430","YBP2","T24","2","chlorophyte scenedesmus 16 24",0
"431","YBP2","FC","3","chlorophyte scenedesmus 16 24",0
"432","YBP2","T24","3","chlorophyte scenedesmus 16 24",0
"433","SJR2","FC","1","chlorophyte scenedesmus 16 32",1
"434","SJR2","T24","1","chlorophyte scenedesmus 16 32",0
"435","SJR2","FC","2","chlorophyte scenedesmus 16 32",0
"436","SJR2","T24","2","chlorophyte scenedesmus 16 32",0
"437","SJR2","FC","3","chlorophyte scenedesmus 16 32",0
"438","SJR2","T24","3","chlorophyte scenedesmus 16 32",0
"439","YBP1","FC","1","chlorophyte scenedesmus 16 32",1
"440","YBP1","T24","1","chlorophyte scenedesmus 16 32",0
"441","YBP1","FC","2","chlorophyte scenedesmus 16 32",0
"442","YBP1","T24","2","chlorophyte scenedesmus 16 32",0
"443","YBP1","FC","3","chlorophyte scenedesmus 16 32",0
"444","YBP1","T24","3","chlorophyte scenedesmus 16 32",0
"445","LSZ2","FC","1","chlorophyte scenedesmus 16 32",0
"446","LSZ2","T24","1","chlorophyte scenedesmus 16 32",0
"447","LSZ2","FC","2","chlorophyte scenedesmus 16 32",0
"448","LSZ2","T24","2","chlorophyte scenedesmus 16 32",0
"449","LSZ2","FC","3","chlorophyte scenedesmus 16 32",0
"450","LSZ2","T24","3","chlorophyte scenedesmus 16 32",0
"451","WLD2","FC","1","chlorophyte scenedesmus 16 32",0
"452","WLD2","T24","1","chlorophyte scenedesmus 16 32",0
"453","WLD2","FC","2","chlorophyte scenedesmus 16 32",0
"454","WLD2","T24","2","chlorophyte scenedesmus 16 32",0
"455","WLD2","FC","3","chlorophyte scenedesmus 16 32",0
"456","WLD2","T24","3","chlorophyte scenedesmus 16 32",0
